Unnamed: 0,ODT,RowID,param readonly uint16 busVoltages[0:2],param readonly uint16 busCurrents[0:2],param readonly uint16 analogueToDigitalReference,param readonly uint16 sensorCurrent,param readonly uint16 rawGyroTemperature[0:2],param readonly raw3 gyroStatus,param readonly uint16 mtm1Temperature,param readonly uint16 eccStatisticsPacked_7,param readonly uint16 eccStatisticsPacked_6,param readonly uint16 eccStatisticsPacked_5,param readonly uint16 eccStatisticsPacked_4,param readonly uint16 eccStatisticsPacked_3,param readonly uint16 eccStatisticsPacked_2,param readonly uint16 eccStatisticsPacked_1,param readonly uint16 eccStatisticsPacked_0,param readonly uint16 rawGyroTemperature_2,param readonly uint16 rawGyroTemperature_1,param readonly uint16 rawGyroTemperature_0,param readonly uint16 busCurrents_2,param readonly uint16 busCurrents_1,param readonly uint16 busCurrents_0,param readonly uint16 busVoltages_2,param readonly uint16 busVoltages_1,param readonly uint16 busVoltages_0,param readonly uint16 mtm2Temperature,param readonly uint16 eccStatisticsPacked[0:7],param readonly uint16 fss1ErrorCount,param readonly uint16 currRow,param readonly uint32 lastSvUpdate,param readonly uint16 successfulSvUpdates,param readonly uint16 totalFixFailures,cdh.telemetry.DataPool.paramValid
53,7707052,25690,141238000000000.0,66958600000000.0,32791,5719,2534070000000.0,110000001100000011,38214,0,0,0,0,32723,32723,25,25,39296,599,590,20992,913,15590,39936,35025,32884,38089,129809441727716775377536728396988416,57930,0,7706609,1447,392,1111111111
54,7707352,25691,141002000000000.0,62852700000000.0,32791,9077,2542660000000.0,110000001100000011,38308,0,0,0,0,32723,32723,25,25,39168,600,592,20224,2267,14634,25600,38431,32829,38179,129809441727716775377536728396988416,57930,0,7706609,1447,392,1111111111
55,7707652,25692,141225000000000.0,74543600000000.0,32791,8903,2559840000000.0,110000001100000011,38442,0,0,0,0,32723,32723,25,25,38912,602,596,23552,2252,17356,23040,33269,32881,38318,129809441727716775377536728396988416,57930,0,7706609,1447,392,1111111111
56,7707952,25693,141156000000000.0,65786100000000.0,32790,8278,2568430000000.0,110000001100000011,38617,0,0,0,0,32723,32723,25,25,38784,603,598,9472,1311,15317,59392,28988,32865,38484,129809441727716775377536728396988416,57930,0,7706609,1447,392,1111111111
57,7708252,25694,141229000000000.0,77099000000000.0,32792,9234,2594200000000.0,110000001100000011,38848,0,0,0,0,32723,32723,25,25,38400,606,604,60928,641,17951,33280,28768,32882,38711,129809441727716775377536728396988416,57930,0,7708091,1448,392,1111111111
58,7708552,25695,140735000000000.0,64145400000000.0,32788,6039,2611380000000.0,110000001100000011,39043,0,0,0,0,32723,32723,25,25,38144,608,608,60928,967,14935,46592,27566,32767,38904,129809441727716775377536728396988416,57930,0,7708091,1448,392,1111111111
59,7708852,25696,141367000000000.0,67916400000000.0,32792,7504,2628560000000.0,110000001100000011,39205,0,0,0,0,32723,32723,25,25,37888,610,612,31744,1253,15813,26112,37329,32914,39074,129809441727716775377536728396988416,57930,0,7708091,1448,392,1111111111
60,7709152,25697,140761000000000.0,67564200000000.0,32791,5941,2637150000000.0,110000001100000011,39365,0,0,0,0,32723,32723,25,25,37760,611,614,64000,1059,15731,14848,31079,32773,39240,129809441727716775377536728396988416,57930,0,7708091,1448,392,1111111111
61,7709452,25698,140809000000000.0,73521300000000.0,32790,9373,2654330000000.0,110000001100000011,39500,0,0,0,0,32723,32723,25,25,37504,613,618,19712,760,17118,6656,42605,32784,39369,129809441727716775377536728396988416,57930,0,7709292,1449,392,1111111111
62,7709752,25699,141238000000000.0,73310900000000.0,32792,6224,2662920000000.0,110000001100000011,39603,0,0,0,0,32723,32723,25,25,37376,614,620,5376,1575,17069,39936,35025,32884,39472,129809441727716775377536728396988416,57930,0,7709292,1449,392,1111111111
63,7710052,25700,140860000000000.0,62595000000000.0,32792,8578,2662920000000.0,110000001100000011,39605,0,0,0,0,32723,32723,25,25,37376,614,620,24064,2237,14574,22528,34371,32796,39520,129809441727716775377536728396988416,57930,0,7709292,1449,392,1111111111
64,7710352,25701,140860000000000.0,71618700000000.0,32792,7404,2654330000000.0,110000001100000011,39474,0,0,0,0,32723,32723,25,25,37504,613,618,15104,1836,16675,22528,34371,32796,39421,129809441727716775377536728396988416,57930,0,7709292,1449,392,1111111111
